"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
"ASV160"	"k__Fungi"	"p__Mortierellomycota"	"c__Mortierellomycetes"	"o__Mortierellales"	"f__Mortierellaceae"	"g__Mortierella"	NA
"ASV161"	"k__Fungi"	NA	NA	NA	NA	NA	NA
"ASV162"	"k__Fungi"	NA	NA	NA	NA	NA	NA
"ASV163"	"k__Fungi"	"p__Mortierellomycota"	"c__Mortierellomycetes"	"o__Mortierellales"	"f__Mortierellaceae"	"g__Mortierella"	NA
"ASV164"	"k__Fungi"	"p__Ascomycota"	"c__Sordariomycetes"	"o__Sordariales"	"f__Lasiosphaeriaceae"	"g__Podospora"	NA
"ASV165"	"k__Fungi"	"p__Basidiomycota"	"c__Tremellomycetes"	"o__Filobasidiales"	"f__Filobasidiaceae"	"g__Filobasidium"	NA
"ASV166"	"k__Fungi"	NA	NA	NA	NA	NA	NA
"ASV167"	"k__Fungi"	"p__Mortierellomycota"	"c__Mortierellomycetes"	"o__Mortierellales"	"f__Mortierellaceae"	"g__Mortierella"	NA
"ASV168"	"k__Fungi"	"p__Mortierellomycota"	"c__Mortierellomycetes"	"o__Mortierellales"	"f__Mortierellaceae"	"g__Mortierella"	"s__rishikesha"
"ASV169"	"k__Fungi"	"p__Ascomycota"	"c__Sordariomycetes"	"o__Xylariales"	"f__Hyponectriaceae"	"g__Monographella"	"s__nivalis"
"ASV170"	"k__Fungi"	"p__Basidiomycota"	"c__Agaricomycetes"	"o__Cantharellales"	"f__Cantharellales_fam_Incertae_sedis"	"g__Minimedusa"	"s__polyspora"
"ASV171"	"k__Fungi"	"p__Basidiomycota"	"c__Agaricomycetes"	"o__Cantharellales"	"f__Ceratobasidiaceae"	"g__Thanatephorus"	"s__cucumeris"
"ASV172"	"k__Fungi"	"p__Basidiomycota"	"c__Microbotryomycetes"	"o__Leucosporidiales"	"f__Leucosporidiaceae"	NA	NA
